"mz","rt","into"
201.068,3143.009,131550.795
205,2792.46,1572679.161
206.002,2792.46,211717.713
207.09,2722.037,277990.701
219.1,2524.853,72029.378
233.037,3025.638,334459.927
234.013,3025.638,73781.009
235.088,2671.958,156968.295
240.144,3684.483,176425.151
241.148,3682.918,1006929.313
242.168,3681.353,188328.195
244.106,2833.148,168524.487
249.144,3671.964,1076654.093
250.161,3670.399,215534.93
254.173,3232.212,108479.022
255.16,3681.353,1024087.203
256.185,3456,185415.276
256.185,3679.788,213618.13
257.154,3659.444,190701.967
264.158,3155.529,150120.706
266.149,3671.964,312326.198
267.2,3671.964,1009688.328
268.161,3673.528,208591.49
268.203,3884.797,207039.053
269.197,3884.797,784441.771
270.152,3884.797,162845.815
272.153,3125.795,148857.794
272.148,2726.732,131285.22
273.2,3678.223,98732.345
279.06,2794.025,11584736.429
280.083,2794.025,2051176.826
281.069,2794.025,286027.476
281.2,3670.399,2267969.686
282.179,3670.399,534836.411
282.2,3471.649,1100345.794
283.2,3884.797,806746.588
284.103,2723.602,573395.648
286.186,3263.511,1305651.239
287.185,3263.511,327052.091
288.144,2798.72,639029.414
289.142,3116.405,225114.295
291.2,3667.269,80209.663
294.061,2584.321,71824.824
295.136,3686.048,120053.574
296.07,2729.862,149853.352
300.182,3506.078,2335402.257
300.196,3393.402,645526.705
301.021,2794.025,1636414.366
302,2625.01,343121.412
302.014,2794.025,301177.067
304.112,2927.046,1125530.492
305.114,3506.078,1237490.774
305.118,2928.611,810315.663
306.1,2930.176,193570.525
306.121,3506.078,272840.239
306.996,2626.575,184048.867
308.171,3261.946,145089.129
309.1,2927.046,450819.841
309.2,3671.964,311566.8
312.1,3000.599,230302.35
313.008,2789.33,7685168.98
313.189,3293.245,750402.915
314,2790.895,1678104.698
314.182,3291.68,198117.642
315,2532.677,4208773.833
316,2532.677,883721.247
316.2,3091.366,302041.102
317,2795.59,285929.715
318.119,3252.556,90519.6
319.139,3700.133,204530.414
321.173,3667.269,293428.123
322.191,3507.643,1509039.624
323.175,3507.643,354443.365
324.117,2797.155,303409.427
326.17,3418.441,161900.584
327.1,3506.078,416275.222
328.2,3637.535,403748.596
329.121,3501.384,382402.714
330.195,3501.384,103233.318
331.146,3502.949,301914.002
331.143,3456,210035.52
332.005,2531.112,5672069.077
333,2531.112,1187460.471
334.052,2532.677,268288.087
335,2789.33,1435113.397
336.006,2789.33,317781.235
336.177,3698.568,290423.955
337,2531.112,4694316.95
338,2531.112,937418.302
338.196,3670.399,476072.639
338.102,3025.638,360865.909
338.205,3839.414,254368.11
339.181,3322.979,3301294.562
343.032,2689.173,14333257.903
344.009,2690.738,3276619.294
344.182,2942.695,695608.33
345.048,2689.173,486979.558
345.2,2950.52,145793.083
346.176,3501.384,879991.735
