"mz","rt","into"
200.1,2927.047,153273.469
205,2795.591,1356014.334
206,2795.591,188285.941
207.08,2725.168,252874.011
219.083,2527.984,238194.379
231,2518.594,201316.154
233.065,3028.769,456900.469
234.072,3028.769,83693.385
236.1,2527.984,256263.261
240.1,3698.569,75235.935
241.13,3690.745,731777.647
242.142,3690.745,139968.457
244.103,2837.845,110170.73
246.1,2527.984,77205.361
249.146,3676.66,688496.327
250.151,3676.66,139317.286
255.189,3690.745,759075.901
256.152,3466.956,170656.944
256.151,3690.745,164675.68
264.151,3164.92,130895.083
266.192,3676.66,182876.531
267.184,3678.225,651345.859
268.2,3900.448,115472.771
268.2,3676.66,96925.015
269.191,3898.883,556389.855
272.085,2651.615,401800.515
279.038,2795.591,10839870.307
280.046,2795.591,1991723.91
280.2,3329.24,183856.866
281.072,2795.591,283748.909
281.2,3676.66,1370601.441
282.197,3477.911,547837.995
283.194,3897.318,573786.614
284.109,2725.168,400051.298
286.189,3268.207,1153278.573
288.155,2804.981,544135.33
296.086,2731.428,86857.5
300.187,3409.053,1438254.446
301,2797.156,1576059.463
302.018,2628.141,424152.174
304.127,2928.612,1820963.3
305.1,2933.307,2251478.211
306.1,2934.872,467150.935
307,2629.706,184966.135
308.122,3268.207,247134.923
309.1,2928.612,621911.13
309.2,3675.095,144582.601
310.1,2928.612,115596.597
312.1,3002.165,192635.85
313,2792.461,4114991.639
313.17,3304.201,509199.445
314.009,2792.461,823072.933
314.2,3308.896,86436.515
315,2545.199,5453768.791
316.006,2543.634,1163245.115
316.171,3096.062,172667.193
321.2,3679.79,117510.872
322.152,3512.34,536634.537
323.168,3510.775,136403.943
326.191,3427.832,247976.865
328.2,3645.361,385802.429
329.106,3506.08,187019.35
331.192,3509.21,312639.451
332.012,2545.199,7203558.865
333.02,2545.199,1580626.576
334.038,2545.199,396380.464
335.002,2792.461,763566.362
336.047,2792.461,171719.095
337,2545.199,6391595.601
338,2515.465,1164693.072
338.117,3028.769,438100.756
338.2,3676.66,339368.227
338.203,3847.24,420930.153
339.193,3332.37,2415701.395
340.2,3335.5,531026.659
343.01,2690.739,15108077.326
344.003,2690.739,3298613.411
344.12,2903.573,619525.598
345.018,2690.739,524993.43
346.153,3506.08,355132.539
347.156,3507.645,101642.092
348.175,3509.21,121967.758
351.12,3506.08,88486.819
352.111,2794.026,146512.795
353,2509.205,213709.025
353.129,3507.645,114163.62
354.137,2795.591,289194.449
356.215,3850.37,197582.43
359.2,3732.998,382811.809
360.051,2695.434,7425235.495
361.052,2695.434,1753050.839
361.187,3177.44,696882.685
362.092,2693.869,568139.948
363.194,3271.337,184987.695
365,2692.304,8737740.732
365.2,3407.488,178224.848
366,2690.739,1879524.967
366.117,2795.591,810665.234
366.234,3858.195,279764.547
367.2,3540.509,1657051.083
368.2,3540.509,436644.228
372.1,3304.201,97918.92
372.2,3265.077,3285567.892
373.2,3265.077,825939.566
376.208,3732.998,122884.362
379.136,3337.065,740580.85
380.1,3163.355,1355144.264
381.112,3163.355,302289.929
382.145,3255.687,794106.698
385.139,3186.83,808884.316
386.2,3183.7,186412.149
389.198,3363.669,648895.563
390.2,3362.104,194945.821
391.136,3632.841,2644093.464
392.152,3632.841,709070.534
392.219,2934.872,775050.6
393.1,3634.406,114428.738
395.212,3729.868,177711.298
396.182,3338.63,264918.505
398.2,3332.37,1422532.591
399.114,2806.546,178355.787
400.1,2795.591,247167.668
400.2,3626.581,7160707.132
401.2,3626.581,1786746.131
408.112,2902.008,565354.697
409.111,2900.443,155185.373
413.122,3632.841,282687.129
414.2,3061.633,169402.106
422.127,2902.008,146587.525
422.2,3279.162,153115.346
424.2,3441.917,1547095.938
425.21,3440.352,433804.885
426.1,3030.334,318466.789
426.2,3639.101,7670588.814
427.2,3639.101,2210419.3
428.2,4141.451,1739197.793
429.206,3895.753,1236769.335
430.1,2692.304,2700539.931
430.2,3895.753,422852.62
431.1,2701.694,838407.271
433.193,3828.46,478209.628
436.183,3632.841,136055.395
438.184,3471.651,1841180.795
439.165,3473.216,474139.061
440.183,3491.995,269703.641
444.112,2690.739,176842.749
444.2,2903.573,175244.666
447.2,3881.669,2138575.296
448.2,3426.267,1078385.138
449.2,3424.702,339099.046
450.1,3571.808,72461.065
452.112,3086.673,867737.561
454.159,3304.201,4460650.861
455.143,3304.201,1137137.706
456.169,3304.201,248845.955
458.2,3052.244,341058.369
458.306,2948.957,86757.552
459.2,3047.549,65977.765
461.2,3911.403,149290.045
462.2,3285.422,803904.302
463.182,3052.244,213874.513
464.2,3476.346,5184218.663
465.2,3476.346,1367031.614
466.2,3714.219,2447538.831
467.1,3754.908,64334.581
467.2,3714.219,674414.031
468.2,3153.966,258240.224
476.144,3302.636,266181.898
478.245,3632.841,1489173.187
479.265,3632.841,489646.108
480.195,3330.805,25487175.238
481.187,3332.37,6630787.527
482.2,3628.146,4629567.33
483.2,3628.146,1237338.99
484.191,3628.146,234621.999
486.191,2806.546,152254.217
486.156,3477.911,176497.754
488.216,2889.488,226005.728
490.33,3900.448,62208.107
491.223,3678.225,126527.965
491.348,3553.029,77926.409
492.204,3676.66,374965.72
493.154,2891.053,129815.514
494.2,3434.092,516888.837
495.256,3426.267,76661.593
496.2,3449.742,24983717.092
496.2,3374.624,7456648.721
497.2,3449.742,6723616.602
497.2,3374.624,2071029.791
498.2,3449.742,1291691.569
498.2,3373.059,588030.24
499.186,3452.872,178856.843
499.256,3326.11,114190.628
500.205,2806.546,78508.715
502.103,3179.005,8794519.077
503.174,3177.44,2494471.497
504.164,3272.902,1958691.4
505.163,3272.902,552504.47
505.376,3754.908,147567.693
506.2,3409.053,2439061.416
507.2,3407.488,699999.471
508.1,3371.494,288185.36
508.2,3540.509,21911294.291
508.3,3862.889,206123.097
509.2,3540.509,6293691.746
510.2,3800.291,2717762.662
510.2,3540.509,1244176.423
511.2,3801.856,755977.897
512.243,3667.27,359155.006
512.25,2933.307,278263.003
513.274,3667.27,141025.684
513.4,3537.379,51812.455
515.256,3448.177,83377.266
518.2,3448.177,715896.856
518.964,3750.213,64339.561
519.187,3448.177,207378.1
520.2,3299.506,448861.828
520.2,3233.778,525815.375
521.2,3235.343,172363.593
522.2,3399.663,15064828.358
522.2,3468.521,10673526.101
522.3,3537.379,378980.4
523.2,3399.663,4297290.064
523.2,3468.521,3170222.32
524.1,3163.355,96356.332
524.203,3759.602,20468695.348
525.203,3759.602,6040801.617
526.152,3186.83,10564970.577
527.148,3186.83,3262003.774
527.318,3747.083,250290.432
528.2,3250.993,813021.503
528.192,3186.83,604951.767
529.104,3249.428,234562.773
530.2,3363.669,9767005.525
531.2,3363.669,2934544.162
532.197,3499.82,972781.669
532.194,3363.669,618906.426
532.218,2880.099,377041.839
533.192,3499.82,316320.333
534.2,3603.107,766481.211
534.3,3875.409,1171077.888
535.2,3603.107,251104.052
535.3,3875.409,479934.615
536.058,3938.007,97716.696
536.1,3537.379,64287.07
536.2,3582.763,1003120.214
536.2,3729.868,2594298.992
537.196,3582.763,304740.047
537.232,3729.868,814693.865
538.3,3726.738,101411.53
541.052,3743.953,81448.86
544.2,3227.518,1798415.501
545.2,3227.518,614618.463
546.1,3211.869,72266.836
546.28,3024.074,656805.163
547.244,3024.074,224353.449
548.1,3188.394,451062.409
549.442,3747.083,237993.124
550.2,3722.044,3900790.102
550.246,3643.796,3277277.731
551.261,3643.796,1082383.665
551.243,3722.044,1203399.967
552.1,3385.579,80863.45
552.2,4080.418,801089.277
552.303,3844.11,331846.083
553.4,3847.24,54169.345
554.179,3224.388,369031.421
555.173,3224.388,147515.541
555.289,3637.536,139287.88
556.289,2922.352,239761.659
557.455,3527.989,90184.43
558.161,3402.793,310054.626
558.182,3540.509,194246.235
559.19,3401.228,99975.556
562.153,3524.859,66838.638
562.963,3737.693,78597.77
564.205,3488.866,364380.95
566.2,3595.282,627906.712
567.174,3601.542,183673.766
567.309,3326.11,100749.348
568.195,3233.778,1723110.107
568.3,3632.841,296017.619
569.2,3233.778,590152.035
569.332,3632.841,117895.09
570.206,3240.038,253018.245
570.457,3527.989,99991.916
571.435,3740.823,242164.97
572.2,3427.832,283351.971
573.225,3427.832,104508.926
573.961,3737.693,55550.717
576.291,2869.144,365961.165
577.272,2869.144,135705.845
579.122,2797.156,659396.377
579.352,3524.859,154232.778
580.1,2794.026,171472.528
580.2,3415.313,541321.229
580.211,3596.847,402913.197
581.2,3410.618,150298.027
584.487,3515.47,36631.959
585.063,3732.998,47924.759
590.3,3013.12,767925.73
591.288,3013.12,264940.879
592.455,3521.73,162782.695
593.392,3732.998,255909.583
594.2,3420.008,167997.87
594.32,3623.452,573244.916
595.333,3623.452,256556.992
595.975,3736.128,52713.479
596.351,3831.59,473434.138
597.362,3831.59,180230.294
598.478,3726.738,55230.019
