"mz","rt","into"
200.1,2923.917,65290.385
201.063,3138.315,110258.367
205,2787.766,1482796.385
205.983,2787.766,201393.415
207.088,2715.778,351750.138
231.024,2515.464,222609.068
233.038,3020.944,410550.655
235.022,2667.264,155442.477
236.1,2521.724,71763.791
240.14,3675.094,193768.652
241.113,3673.529,1215368.739
242.114,3673.529,224467.69
244.1,2828.454,90539.861
249.13,3664.14,1193346.699
250.12,3664.14,248245.61
254.125,3224.388,89307.002
255.124,3673.529,1264221.957
256.128,3448.176,245869.325
256.153,3671.964,275104.925
257.141,3650.055,227798.27
264.139,3149.27,165143.892
266.179,3665.705,325662.757
267.142,3664.14,1151405.917
268.195,3875.408,272955.022
268.133,3665.705,244444.335
269.165,3875.408,1063929.746
270.159,3875.408,207683.266
272.11,3121.101,125686.686
273.9,2643.79,39262.809
276.051,3578.067,64637.021
279,2787.766,14683487.664
279.1,2745.512,288357.51
280.01,2787.766,2579250.433
281.015,2787.766,364608.311
281.18,3664.14,2531423.591
282.12,3465.39,772077.814
282.17,3664.14,601572.417
283.1,3643.795,349148.701
283.2,3873.843,1102490.173
284.1,2715.778,650687.012
285.113,3848.804,210813.325
286.154,3255.687,1485022.376
287.116,3255.687,388006.066
288.113,2794.025,323173.547
289.125,3111.711,240938.01
291.2,3667.269,111560.76
294.1,2579.627,54070.156
296.073,2726.732,172459.055
297.123,3840.979,127769.889
298.105,3182.134,191015.911
300.1,3538.943,303395.832
300.191,3387.143,5290739.139
301,2789.331,2330865.115
301.189,3387.143,1109303.045
302,2787.766,450510.294
302.006,2620.316,444524.047
304.1,2923.917,1243865.552
305.1,3501.384,1523254.273
305.1,2925.482,1063314.667
306.1,2925.482,246498.779
306.134,3501.384,337795.683
306.955,2620.316,226991.303
308.144,3257.252,246074.48
309.1,2923.917,490685.201
309.189,3665.705,375113.818
310.187,3628.146,197712.639
310.2,3671.964,160971.414
312.1,2995.904,296169.419
312.219,3866.019,176647.374
313,2787.766,897619.326
313.1,3285.421,862661.587
314,2784.636,171070.657
314.156,3286.986,231155.246
315,2515.464,3525288.079
316,2515.464,719323.363
316.2,3088.237,67253.01
316.989,2789.331,355561.335
318.1,3247.862,99212.968
319.111,3693.874,332755.702
320.111,3692.309,84644.715
321.1,3662.575,323305.086
322.1,3387.143,378948.167
322.114,3501.384,1722624.649
323.105,3501.384,397502.884
324.086,2789.331,341633.139
324.158,3272.901,186860.976
325.2,3651.62,88655.685
326.2,3416.877,2913711.547
327.098,3501.384,465617.921
327.198,3416.877,674222.714
328.1,3501.384,150681.926
328.2,3626.581,4398403.515
329.1,3495.125,409585.085
329.2,3626.581,990625.769
330.142,3626.581,143015.845
330.118,3495.125,112024.983
331.179,3493.56,438999.397
331.143,3448.176,284019.33
332,2515.464,4658831.111
333,2515.464,927289.219
334.021,2515.464,208246.332
334.998,2786.201,190478.179
335.2,3002.164,40837.044
336.16,3692.309,419444.235
337,2515.464,4073677.526
337.2,3692.309,84478.655
337.995,2515.464,795295.07
338.2,3664.14,622113.93
338.105,3020.944,411133.583
338.2,3831.59,244913.806
339.187,3316.72,3243829.359
343,2684.479,17930719.644
344,2684.479,3954886.762
344.135,2961.475,669103.343
345.008,2682.914,602322.945
346.111,3495.125,917425.206
347.117,3495.125,240054.653
348.142,3493.56,204324.223
348.123,3285.421,150844.995
348.124,3416.877,190365.213
351.098,3495.125,234594.072
352.09,2787.766,227777.569
352.125,3490.43,161146.277
352.91,2515.464,586587.079
353.1,3493.56,205854.357
354,2515.464,173130.127
354.2,3614.061,832780.32
355.197,3614.061,222655.68
356.2,3830.025,1535138.251
357.2,3830.025,391437.155
357.175,3466.955,343171.049
358.159,3468.52,99104.987
358.833,2914.527,4250967.409
359.2,3715.783,407618.335
359.85,2914.527,2935482.845
360.016,2687.609,8797145.083
360.839,2914.527,2969929.07
361,2687.609,2364088.726
361.1,3164.919,1046203.531
361.859,2916.092,1810216.508
362.024,2686.044,641678.3
362.104,3161.79,307965.84
362.835,2914.527,656744.13
363.148,3258.817,306254.455
364.2,3723.608,217897.203
365,2684.479,11725804.629
365.178,3388.708,358265.568
366,2684.479,2484968.458
366.111,2789.331,747021.663
366.206,3842.544,416711.842
367.2,3523.294,2455930.088
368.2,3523.294,636622.748
